address,zipcode,price,housing_type,status,layout,link
"2129 N Mulligan Avenue, Chicago, IL 60639",60639,"$279,900",Single Family Residence,Active,"['2BEDS', '1TOTAL BATH', '912SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12210766/Chicago/2129-N-Mulligan-Avenue
"2123 N Monitor Avenue, Chicago, IL 60639",60639,"$330,000",Multi Family,Active,"['5BEDS', '3TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12210764/Chicago/2123-N-Monitor-Avenue
"2129 N Kedvale Avenue, Chicago, IL 60639",60639,"$625,000",Single Family Residence,Active,"['4BEDS', '3TOTAL BATHS', '3,400SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12210003/Chicago/2129-N-Kedvale-Avenue
"5100 N Sheridan Road 404, Chicago, IL 60640",60640,"$124,000",Condominium,Active,"['1BED', '1TOTAL BATH', '850SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12255188/Chicago/5100-N-Sheridan-Road-404
"4866 N Ashland Avenue 1E, Chicago, IL 60640",60640,"$239,900",Condominium,Active,"['2BEDS', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12221514/Chicago/4866-N-Ashland-Avenue-1E
"4960 N Marine Drive 1511, Chicago, IL 60640 Shoreline Park Subdivision",60640,"$140,000",Condominium,Active,"['1BED', '1TOTAL BATH', '680SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12223255/Chicago/4960-N-Marine-Drive-1511
"5420 N SHERIDAN Road 205, Chicago, IL 60640",60640,"$339,000",Condominium,Active,"['3BEDS', '3TOTAL BATHS', '1,600SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12222672/Chicago/5420-N-SHERIDAN-Road-205
"947 W Winona Street 1E, Chicago, IL 60640",60640,"$349,999",Condominium,Active Under Contract,"['2BEDS', '2TOTAL BATHS', '1,240SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12219427/Chicago/947-W-Winona-Street-1E
"4530 N MAGNOLIA Avenue GS, Chicago, IL 60640 Sheridan Park Subdivision",60640,"$359,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,200SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12222062/Chicago/4530-N-MAGNOLIA-Avenue-GS
"1941 W Balmoral Avenue, Chicago, IL 60640",60640,"$1,050,000",Multi Family,Active Under Contract,"['9BEDS', '5TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12221311/Chicago/1941-W-Balmoral-Avenue
"5354 N Kenmore Avenue 1, Chicago, IL 60640",60640,"$325,000",Condominium,Active Under Contract,"['3BEDS', '2TOTAL BATHS', '1,800SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12216036/Chicago/5354-N-Kenmore-Avenue-1
"1907 W WINONA Avenue 1, Chicago, IL 60640",60640,"$285,000",Condominium,Active Under Contract,"['2BEDS', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12221377/Chicago/1907-W-WINONA-Avenue-1
"4513 N DOVER Street G, Chicago, IL 60640",60640,"$425,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS', '1,718SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12220101/Chicago/4513-N-DOVER-Street-G
"4970 N Marine Drive 421, Chicago, IL 60640",60640,"$160,000",Condominium,Active,"['1BED', '1TOTAL BATH', '700SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12221341/Chicago/4970-N-Marine-Drive-421
"5313 N Lakewood Avenue, Chicago, IL 60640 Lakewood Balmoral Subdivision",60640,"$1,530,000",Single Family Residence,Pending,"['5BEDS', '5TOTAL BATHS', '4,600SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12220841/Chicago/5313-N-Lakewood-Avenue
"4960 N Marine Drive 820, Chicago, IL 60640",60640,"$149,000",Condominium,Active,"['1BED', '1TOTAL BATH', '700SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12220991/Chicago/4960-N-Marine-Drive-820
"5056 N Marine Drive 3C, Chicago, IL 60640",60640,"$149,999",Condominium,Active,"['2BEDS', '1TOTAL BATH', '760SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12220771/Chicago/5056-N-Marine-Drive-3C
"4842 N Ashland Avenue 1N, Chicago, IL 60640",60640,"$264,000",Condominium,Active,"['2BEDS', '1TOTAL BATH', '750SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12220268/Chicago/4842-N-Ashland-Avenue-1N
