zipcode,Median Household income (Dollars),White Households,Black or African American Households,American Indian and Alaska Native Households,Asian Households,Pacific Islander Households,Other Race Households,Mixed Race Households,Hispanic or Latino origin Households,Total population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Population 20 to 24 years,Population 25 to 29 years,Population 30 to 34 years,Population 35 to 39 years,Population 40 to 44 years,Population 45 to 49 years,Population 50 to 54 years,Population 55 to 59 years,Population 60 to 64 years,Population 65 to 69 years,Population 70 to 74 years,Population 75 to 79 years,Population 80 to 84 years,Population 85 years and over,Total Housing Units,Vacant Housing Units,Homeowner Vacancy Rate,Rental Vacancy Rate,owned_property_avg_price,rental_property_avg_price
60625,"83,527","19,814","1,498",234,"3,788",0,"2,469","3,431","7,471","78,467","4,377","4,245","3,883","4,813","5,431","6,423","8,226","8,866","5,920","4,872","5,195","3,942","3,363","3,364","1,965","1,381","1,105","1,096",33442,2208,1.0,5.3,609467.5,6299.9
60626,"56,145","13,517","5,251",181,"1,271",0,"1,407","1,833","3,232","50,027","2,397","2,093","1,664","3,171","4,981","4,787","4,961","4,120","3,498","3,498","2,731","3,625","2,662","1,851","1,831","1,007",582,568,26293,2833,1.6,7.2,284685.0,2050.22
60629,"53,318","12,263","7,701",573,234,54,"7,500","5,500","21,742","109,292","7,201","7,758","8,144","8,155","9,933","7,548","6,740","6,176","8,057","8,162","6,906","5,344","5,044","3,379","3,832","4,108","1,493","1,312",36227,2402,0.8,7.8,0.0,1318.75
60630,"91,135","14,944",433,79,"2,270",29,"1,874","1,711","4,919","54,242","3,321","2,915","2,492","2,698","3,028","2,867","4,349","4,469","3,867","3,840","4,001","3,154","4,083","3,858","2,379","1,225",850,846,23341,2001,1.4,6.0,507635.0,0.0
60631,"112,974","10,422",95,0,321,0,437,702,"1,378","30,308","2,114","2,270","1,649","1,397","1,282","1,194","1,638","2,856","1,520","1,759","2,579","2,251","1,868","1,739","1,274",739,677,"1,502",12685,708,0.9,7.9,0.0,1662.5
60633,"54,956","2,451","1,426",15,68,0,700,291,"1,583","12,485",556,"1,102",940,720,591,763,897,"1,051",645,570,"1,015",817,751,798,458,299,223,289,5618,667,0.9,10.7,0.0,1550.0
60634,"82,771","18,965",666,282,"1,367",0,"3,665","2,543","8,843","74,418","3,294","3,766","5,532","4,460","4,061","4,009","5,248","4,896","5,750","5,057","6,292","5,447","5,310","3,227","3,048","2,307","1,353","1,361",29208,1720,0.9,1.6,0.0,2566.5
60637,"37,247","3,306","16,953",88,962,0,503,460,613,"52,418","2,942","3,645","2,972","5,861","5,183","4,388","3,753","2,686","3,023","2,701","2,671","2,440","3,105","2,675","1,589","1,103",782,899,26647,4375,4.2,5.7,0.0,1627.29
60638,"85,374","13,906",599,283,233,21,"2,825","2,775","9,027","58,250","3,267","4,472","3,951","3,745","3,006","3,581","3,862","4,570","3,705","4,587","4,051","3,323","3,610","3,099","1,796","1,334",988,"1,303",21556,914,1.1,3.4,0.0,1250.0
60639,"54,969","8,955","4,570",276,680,5,"8,162","3,953","17,899","84,505","5,220","5,678","6,248","6,433","6,159","5,267","5,721","6,380","5,348","5,507","5,033","4,563","5,082","4,372","3,323","1,813","1,172","1,186",28784,2183,1.2,2.9,436504.9,2366.5
60640,"69,397","24,080","5,674",120,"3,728",0,985,"2,542","3,980","66,884","2,878","2,203","1,509","1,639","3,742","9,153","8,892","7,680","4,898","3,966","4,023","4,341","3,020","2,694","1,640","1,749","1,369","1,488",40378,3249,0.7,5.7,387284.9,1999.44
60641,"79,884","14,952",803,180,"1,450",0,"4,400","3,233","10,302","67,400","4,153","3,963","3,997","3,902","3,877","4,555","5,994","5,304","5,274","4,897","4,905","4,152","4,020","2,823","2,471","1,355",830,928,27222,2204,1.0,4.2,481967.3,2406.25
60642,"137,853","8,303",841,0,705,0,372,823,"1,414","21,124","1,046",329,315,384,"1,210","4,994","4,199","2,771","1,402","1,116",732,704,525,747,249,174,133,94,11786,742,1.2,4.6,873404.9,2869.56
60644,"34,177",846,"16,300",66,114,0,576,655,"1,342","48,317","3,876","3,555","3,384","2,901","2,754","2,985","3,587","2,810","3,733","2,814","3,588","1,992","3,296","2,625","1,868","1,094",829,626,20506,1949,0.0,2.0,0.0,1000.0
60645,"73,726","8,819","2,564",99,"2,205",0,"1,797","1,516","3,054","46,856","3,700","3,382","3,620","2,721","2,428","3,328","2,980","2,405","3,455","3,400","3,018","2,739","2,579","3,060","1,504","1,227",791,519,18315,1315,0.8,7.0,344100.0,1315.5
60646,"112,283","8,678",31,13,"1,331",0,298,455,"1,178","28,499","1,939","2,004","1,413","1,833",923,"1,287","1,662","1,985","2,232","1,682","1,560","1,801","2,365","1,648","1,778",980,638,769,11503,697,1.2,1.9,508655.0,0.0
60647,"97,550","25,413","2,118",212,"1,750",32,"2,292","5,807","11,800","85,589","5,304","4,039","3,209","3,103","5,560","13,206","14,129","9,924","5,781","4,586","3,542","3,551","2,975","2,456","1,552","1,084",584,"1,004",41313,3689,1.2,4.3,765422.5,2342.47
60649,"39,862",718,"22,449",0,130,27,241,511,616,"48,720","3,174","3,061","2,607","2,023","2,424","4,229","4,123","2,978","3,301","2,587","3,178","3,115","3,696","3,140","2,218","1,107",854,905,28320,4244,3.4,5.3,0.0,1177.6
60651,"48,532","4,014","11,777",193,169,0,"2,645","1,956","6,810","63,892","4,325","3,999","5,282","4,597","4,729","4,833","4,398","4,101","4,194","4,223","3,406","3,887","3,578","2,728","2,613","1,209",821,969,22638,1884,1.2,3.2,417878.8,1495.0
60653,"35,136","1,006","15,096",75,155,7,157,471,441,"34,608","2,774","1,719","2,445","2,167","2,022","2,706","2,947","2,517","1,700","1,921","2,360","1,715","1,900","1,780","1,612",845,608,870,18411,1444,1.4,5.9,0.0,1813.75
60654,"138,279","11,583",547,0,"1,369",0,308,"1,266","1,267","24,303",722,299,129,214,"2,013","6,238","4,193","2,679","1,681",906,"1,264","1,172",998,774,642,178,109,92,17147,2074,2.7,6.0,903850.0,5909.66
60655,"115,324","9,426",560,16,119,0,300,251,669,"27,794","1,702","1,846","2,332","1,902","1,375","1,115","1,645","1,656","2,163","1,845","1,975","1,997","1,971","1,555","1,219",648,400,448,11214,542,1.8,5.1,0.0,1894.5
60656,"82,992","9,561",516,0,"1,507",0,365,575,"1,481","28,726","1,844","1,626","1,510","1,223","1,046","1,887","2,777","1,643","2,539","2,178","1,640","1,697","2,352","1,942",862,673,717,570,12883,359,0.0,0.7,0.0,2570.25
60657,"105,428","31,429","1,840",48,"2,706",41,669,"1,961","3,240","71,268","3,924","2,389","1,610","1,356","7,955","15,366","9,813","7,291","4,006","2,878","3,421","2,083","2,497","2,037","1,643","1,349",784,866,41570,2876,1.3,4.4,768969.95,2229.1
60659,"64,202","6,988","1,289",148,"3,148",0,782,"1,302","2,731","42,008","3,044","2,614","3,184","3,785","2,299","2,286","2,711","3,067","2,614","2,644","2,641","2,688","2,408","2,295","1,589",681,620,838,14962,1305,0.6,6.8,439865.05,1800.0
60660,"63,596","12,066","2,995",41,"3,034",62,714,"2,090","2,745","42,750","1,502","1,420","1,110","2,831","3,505","4,673","4,477","3,773","2,809","2,816","2,317","2,480","2,657","1,999","1,514","1,540",565,762,23420,2418,1.4,9.4,359719.95,1876.41
60661,"139,748","4,447",347,0,"1,889",0,193,358,618,"11,516",469,246,50,65,684,"2,539","2,643","1,986",901,592,570,181,252,170,83,24,0,61,7836,602,2.2,6.4,457155.0,4750.57
